Reference,Transit Account #,Trip Time,Mode,Location,Product Type,Fare Amount ($)
69380562,573091239506,2022-07-19 20:50:29,Subway,Delancey St / Essex St,Stored Value,$2.75
69334012,573091239506,2022-07-19 17:29:15,Subway,Sutter Av,Stored Value,$2.75
69155345,573091239506,2022-07-18 11:15:54,Subway,Astoria - Ditmars Blvd,Stored Value,$2.75
69152883,573091239506,2022-07-18 10:18:18,Subway,Sutter Av,Stored Value,$2.75
68906830,573091239506,2022-07-15 19:36:25,Subway,Jackson Hts-Roosevelt Av / 74 St,Stored Value,$2.75
68171195,573091239506,2022-07-10 13:00:32,Subway,Sutter Av,Stored Value,$2.75
68173179,450293034846,2022-07-10 13:00:31,Subway,Sutter Av,Stored Value,$2.75
68088175,573091239506,2022-07-09 14:27:52,Subway,Steinway St,Stored Value,$2.75
68088866,450293034846,2022-07-09 14:27:52,Subway,Steinway St,Stored Value,$2.75
68071838,450293034846,2022-07-09 12:08:50,Subway,Sutter Av,Stored Value,$2.75
68070589,573091239506,2022-07-09 12:08:48,Subway,Sutter Av,Stored Value,$2.75
67900103,450293034846,2022-07-07 20:02:02,Subway,Utica Av,Stored Value,$2.75
67899625,573091239506,2022-07-07 20:01:59,Subway,Utica Av,Stored Value,$2.75
67324367,573091239506,2022-07-02 16:05:19,Subway,East Broadway,Stored Value,$2.75
67324330,450293034846,2022-07-02 16:05:18,Subway,East Broadway,Stored Value,$2.75
67322415,573091239506,2022-07-02 16:05:16,Subway,East Broadway,Stored Value,$2.75
67307370,450293034846,2022-07-02 13:38:47,Subway,Borough Hall / Court St,Stored Value,$2.75
67307368,573091239506,2022-07-02 13:38:44,Subway,Borough Hall / Court St,Stored Value,$2.75
67260196,450293034846,2022-07-01 20:09:06,Subway,34 St - Penn Station,Stored Value,$2.75
67260196,573091239506,2022-07-01 20:09:05,Subway,34 St - Penn Station,Stored Value,$2.75
67246036,573091239506,2022-07-01 18:11:35,Subway,2 Av,Stored Value,$2.75
67245146,450293034846,2022-07-01 18:11:35,Subway,2 Av,Stored Value,$2.75
67239010,450293034846,2022-07-01 17:34:32,Subway,Sutter Av,Stored Value,$2.75
67188859,573091239506,2022-07-01 11:20:59,Subway,59 St - Columbus Circle,Stored Value,$2.75
67186212,573091239506,2022-07-01 11:01:39,Subway,34 St - Penn Station,Stored Value,$2.75
65675981,450293034846,2022-06-19 23:08:14,Subway,34 St - Herald Sq,Stored Value,$2.75
65676981,573091239506,2022-06-19 23:08:12,Subway,34 St - Herald Sq,Stored Value,$2.75
65402283,573091239506,2022-06-17 13:09:20,Subway,Grand Army Plaza,Stored Value,$2.75
65400310,573091239506,2022-06-17 13:09:17,Subway,Grand Army Plaza,Stored Value,$2.75
65074825,573091239506,2022-06-15 11:17:34,Subway,34 St - Herald Sq,Stored Value,$2.75
64606937,450293034846,2022-06-11 19:58:33,Subway,Rector St,Stored Value,$2.75
64605392,573091239506,2022-06-11 19:58:30,Subway,Rector St,Stored Value,$2.75
64554104,450293034846,2022-06-11 13:11:16,Subway,Sutter Av,Stored Value,$2.75
64553020,573091239506,2022-06-11 13:11:15,Subway,Sutter Av,Stored Value,$2.75
63566130,573091239506,2022-06-03 19:45:22,Subway,Hoyt - Schermerhorn Sts,Stored Value,$2.75
63562116,573091239506,2022-06-03 19:13:35,Subway,Sutter Av,Stored Value,$2.75
62958635,450293034846,2022-05-31 11:15:51,Subway,34 St - Penn Station,Stored Value,$2.75
62958634,573091239506,2022-05-31 11:15:49,Subway,34 St - Penn Station,Stored Value,$2.75
62673958,450293034846,2022-05-28 15:44:49,Subway,Sutter Av,Stored Value,$2.75
62673956,573091239506,2022-05-28 15:44:46,Subway,Sutter Av,Stored Value,$2.75
62147359,450293034846,2022-05-24 12:55:34,Subway,Classon Av,Stored Value,$2.75
62138177,450293034846,2022-05-24 10:37:21,Subway,Sutter Av,Stored Value,$2.75
61742884,573091239506,2022-05-20 20:49:40,Subway,Greenpoint Av,Stored Value,$2.75
61740381,450293034846,2022-05-20 20:49:38,Subway,Greenpoint Av,Stored Value,$2.75
61623840,573091239506,2022-05-20 17:11:44,Subway,Sutter Av,Stored Value,$2.75
61652139,450293034846,2022-05-20 17:11:43,Subway,Sutter Av,Stored Value,$2.75
61137523,573091239506,2022-05-17 19:06:54,Subway,Broadway-Lafayette St / Bleecker St,Stored Value,$2.75
59816871,450293034846,2022-05-13 22:11:39,Subway,25 St,Stored Value,$2.75
59815705,573091239506,2022-05-13 22:11:35,Subway,25 St,Stored Value,$2.75
59793417,450293034846,2022-05-13 18:10:19,Subway,4 Av - 9 St,Stored Value,$2.75
59791568,573091239506,2022-05-13 18:10:16,Subway,4 Av - 9 St,Stored Value,$2.75
59138057,450293034846,2022-05-08 18:54:06,Subway,34 St - Penn Station,Stored Value,$2.75
59139047,573091239506,2022-05-08 18:54:04,Subway,34 St - Penn Station,Stored Value,$2.75
58999078,573091239506,2022-05-06 20:47:44,Subway,Delancey St / Essex St,Stored Value,$2.75
58984504,450293034846,2022-05-06 20:47:41,Subway,Delancey St / Essex St,Stored Value,$2.75
58999077,573091239506,2022-05-06 20:47:40,Subway,Delancey St / Essex St,Stored Value,$2.75
58977503,450293034846,2022-05-06 19:11:22,Subway,34 St - Penn Station,Stored Value,$2.75
58970147,573091239506,2022-05-06 19:11:21,Subway,34 St - Penn Station,Stored Value,$2.75
58968611,573091239506,2022-05-06 19:11:18,Subway,34 St - Penn Station,Stored Value,$2.75
58947243,450293034846,2022-05-06 18:17:52,Subway,Sutter Av,Stored Value,$2.75
58942435,573091239506,2022-05-06 18:17:52,Subway,Sutter Av,Stored Value,$2.75
58290417,450293034846,2022-05-02 20:01:53,Subway,34 St - Penn Station,Stored Value,$2.75
58292957,573091239506,2022-05-02 20:01:50,Subway,34 St - Penn Station,Stored Value,$2.75
56103985,573091239506,2022-04-19 12:29:18,Subway,Bergen St,Stored Value,$2.75
56106719,573091239506,2022-04-19 12:13:18,Subway,Sutter Av,Stored Value,$2.75
55511968,573091239506,2022-04-14 10:33:39,Subway,Hoyt - Schermerhorn Sts,Stored Value,$2.75
55501089,573091239506,2022-04-14 09:28:49,Subway,Sutter Av,Stored Value,$2.75
55425021,450293034846,2022-04-13 20:09:30,Subway,Metropolitan Av / Lorimer St,Stored Value,$2.75
55429144,573091239506,2022-04-13 20:09:28,Subway,Metropolitan Av / Lorimer St,Stored Value,$2.75
55422083,573091239506,2022-04-13 18:02:04,Subway,Sutter Av,Stored Value,$2.75
55422729,450293034846,2022-04-13 18:02:01,Subway,Sutter Av,Stored Value,$2.75
54917207,450293034846,2022-04-10 15:13:40,Subway,Union St,Stored Value,$2.75
54916332,573091239506,2022-04-10 15:13:37,Subway,Union St,Stored Value,$2.75
54708334,450293034846,2022-04-08 19:49:23,Subway,Rector St,Stored Value,$2.75
54716296,573091239506,2022-04-08 19:49:22,Subway,Rector St,Stored Value,$2.75
54654388,450293034846,2022-04-08 13:01:31,Subway,Sutter Av,Stored Value,$2.75
53873017,573091239506,2022-04-02 21:02:52,Subway,Woodside - 61 St,Stored Value,$2.75
53872439,450293034846,2022-04-02 21:02:49,Subway,Woodside - 61 St,Stored Value,$2.75
53789098,450293034846,2022-04-02 10:23:15,Subway,Sutter Av,Stored Value,$2.75
53295621,573091239506,2022-03-31 18:33:01,Subway,Bergen St,Stored Value,$2.75
53279846,573091239506,2022-03-31 17:51:58,Subway,Sutter Av,Stored Value,$2.75
52319256,450293034846,2022-03-26 17:23:56,Subway,Fulton St,Stored Value,$2.75
52319252,573091239506,2022-03-26 17:23:50,Subway,Fulton St,Stored Value,$2.75
47491658,573091239506,2022-03-07 13:57:03,Subway,Fulton St,Stored Value,$2.75
47489815,450293034846,2022-03-07 13:57:03,Subway,Fulton St,Stored Value,$2.75
47336792,573091239506,2022-03-05 18:54:26,Subway,Bergen St,Stored Value,$2.75
47335824,450293034846,2022-03-05 18:54:25,Subway,Bergen St,Stored Value,$2.75
46963902,450293034846,2022-03-04 16:28:03,Subway,2 Av,Stored Value,$2.75
46962852,573091239506,2022-03-04 16:28:02,Subway,2 Av,Stored Value,$2.75
46948175,450293034846,2022-03-04 13:43:22,Subway,Broad St,Stored Value,$2.75
46945682,573091239506,2022-03-04 13:43:21,Subway,Broad St,Stored Value,$2.75
19295964,573091239506,2021-10-23 13:13:21,Subway,Sutter Av,Stored Value,$2.75
